Date,Region,Category,Product,Sales,Quantity,Profit
2023-01-15,East,Electronics,Laptop,1200,1,200
2023-01-18,West,Electronics,Smartphone,800,2,150
2023-02-10,East,Furniture,Chair,150,5,30
2023-02-12,South,Office Supplies,Paper,50,10,10
2023-03-05,West,Electronics,Laptop,1200,1,200
2023-03-15,North,Furniture,Table,450,1,80
2023-04-20,East,Electronics,Smartphone,1600,2,300
2023-05-12,South,Electronics,Laptop,1200,1,200
2023-06-18,West,Office Supplies,Pens,25,20,5
2023-07-22,North,Electronics,Laptop,2400,2,400
2023-08-14,East,Furniture,Chair,300,10,60
2023-09-05,West,Electronics,Smartphone,800,1,150
2023-10-10,South,Office Supplies,Paper,100,20,20
2023-11-15,North,Electronics,Laptop,1200,1,200
2023-12-20,East,Electronics,Smartphone,2400,3,450
